order,dataset_index,image_id,image_path,prompt_id,prompt_name,prompt_text,caption,zerocap_best_idx,zerocap_candidates
18,928,928,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/018_928.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a good burger fight photo taken by the Guardian.,0,"[' good burger fight photo taken by the Guardian.', ' good burger fight photo taken from the video.', ' good burger fight photo.', ' good burger fight.', ' good burger fight photo taken from the video of a recent protest march against the']"
19,29272,29272,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/019_29272.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a performance walker telling a children's book festival about skateboarding.,3,"[' performance.', ' Game event in New Albany Park.', ' performance walker telling a story.', "" performance walker telling a children's book festival about skateboarding."", "" performance walker telling a children's book story.""]"
20,27386,27386,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/020_27386.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a group of the hiking in Alaska with a group of young people who are not,4,"[' group of the hiking in Alaska.', ' group of the walking path.', ' group of the walking route.', ' group of the hiking in Alaska with a group of young people.', ' group of the hiking in Alaska with a group of young people who are not']"
21,12773,12773,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/021_12773.jpg,zerocap,ZeroCap,cond_text=Image of a,"Image of a performance in Ukraine in the background is accompanied by a sign that is saying """,4,"[' performance.', ' performance in Ukraine.', ' performance in Kiev.', ' performance in Ukraine in the background.', ' performance in Ukraine in the background is accompanied by a sign that is saying ""']"
22,14180,14180,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/022_14180.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a parking arena shows how the bikes are used in the Korean National Tour.,4,"[' parking arena.', ' parking arena shows how the bikes are used.', ' parking arena shows how the bike riders.', ' parking arena showing how the bike is being used.', ' parking arena shows how the bikes are used in the Korean National Tour.']"
23,19904,19904,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/023_19904.jpg,zerocap,ZeroCap,cond_text=Image of a,"Image of a pub pedestrian on the bridge showing sign reading ""open-minded discussion"" and",4,"[' pub crossing railing.', ' pub walk.', ' pub crossing railing showing.', ' pub pedestrian on the bridge.', ' pub pedestrian on the bridge showing sign reading ""open-minded discussion"" and']"
24,24978,24978,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/024_24978.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a street in Rome.,1,"[' street.', ' street in Rome.', ' street in the Italian city of Turin.', ' street in the Italian city of Turin is a tribute.', ' street in the Italian city of Turin is a tribute to the young woman']"
25,25138,25138,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/025_25138.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a conversation showing two protesters trying to decide all three options in the middle of a,3,"[' conversation showing two protesters trying to decide all three options.', ' conversation showing two protesters trying to decide all three questions.', ' conversation showing two protesters trying to decide all three options in the middle of the', ' conversation showing two protesters trying to decide all three options in the middle of a', ' conversation showing two protesters trying to decide all three options in the middle.']"
26,69,69,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/026_69.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a car displayed on London Christmas Day 2004.,0,"[' car displayed on London Christmas Day 2004.', ' car with giant balls.', ' car displayed in New York.', ' car displayed on London Christmas Day 2005- the one in the red ball.', ' car displayed on London Christmas Day 2005- the one in the middle.']"
27,22801,22801,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/027_22801.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a downtown market from from the 2014 report.,3,"[' downtown market from from Jan.', ' downtown market from from the 2012 brochure.', ' downtown market from from 2013.', ' downtown market from from the 2014 report.', ' downtown market from from the 2012 brochure (click to enlarge the full map']"
28,14594,14594,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/028_14594.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a horse racing jump in Vermont.,2,"[' horse jump.', ' horse racing jump.', ' horse racing jump in Vermont.', ' horse racing jump in the woods.', ' horse racing jump in the woods by AP.']"
29,8727,8727,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/029_8727.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a Lifetime Gift opening presents a 1977.,4,"[' lifetime.', ' Lifetime Gift.', ' Lifetime gift gift.', ' Lifetime Gift opening.', ' Lifetime Gift opening presents a 1977.']"
30,23643,23643,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/030_23643.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a man painting contest girl in 2011.,2,"[' man painting contest girl.', ' student artist booth girl.', ' man painting contest girl in 2011.', ' man painting contest girls undies.', ' man painting contest girl with picture of famous people.']"
31,26274,26274,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/031_26274.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a German sporting stunt horse that jumps in the face of a rider who falls in,4,"[' German Sport.', ' German sports event.', ' German sporting stunt horse that jumps in the mouth.', ' German sporting stunt horse that jumps on people.', ' German sporting stunt horse that jumps in the face of a rider who falls in']"
32,7496,7496,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/032_7496.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a taxi in the Hague in the year 18 2016.,4,"[' taxi.', ' taxi in the Hague.', "" taxi in the Hague's history district."", ' taxi in the Hague in Dutch.', ' taxi in the Hague in the year 18 2016.']"
33,19370,19370,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/033_19370.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a pedestrian on bicycle in Harlem.,3,"[' pedestrian on bicycle.', ' pedestrian on cycle.', ' cyclist in Harlem.', ' pedestrian on bicycle in Harlem.', ' pedestrian on cycle in Harlem.']"
34,30974,30974,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/034_30974.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a an investigation work underway at the Port of Charleston.,3,"[' an inspection activity.', ' an inspection work.', ' an investigation work underway.', ' an investigation work underway at the Port of Charleston.', ' an investigation work underway at the Port of Wilmington.']"
35,3349,3349,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/035_3349.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a sign fire selling items in a display of Chinese luxury stores.,4,"[' display window.', ' building building.', ' sign fire selling selling clothes.', ' sign fire selling items in a window display.', ' sign fire selling items in a display of Chinese luxury stores.']"
36,29537,29537,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/036_29537.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a demonstration by the police radio operators in Copenhagen.,3,"[' demonstration.', ' demonstration by the police radio operators.', ' demonstration by the police radio operator.', ' demonstration by the police radio operators in Copenhagen.', ' demonstration by the police radio operator in the Netherlands.']"
37,10401,10401,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/037_10401.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a man jumping leaves.,0,"[' man jumping leaves.', ' man jumping leaves in the early morning hours.', ' man jumping leaves in the early morning.', ' man jumping leaves in the early morning hours on the Facebook group.', ' man jumping leaves in the early morning hours on the Facebook page of the N']"
38,1002,1002,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/038_1002.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a Chinese Tibetan playing a traditional instrument in the region.,3,"[' Chinese Tibetan playing a traditional instrument.', ' Chinese Tibetan playing a traditional Tibetan instrument in the Tibetan capital of Lhasa', ' Chinese Tibetan playing a traditional Tibetan instrument.', ' Chinese Tibetan playing a traditional instrument in the region.', ' Chinese Tibetan playing a traditional Tibetan instrument in the Tibetan capital of Lhasay']"
39,731,731,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/039_731.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a photo of children can be seen in the sand boarding guide.,3,"[' photo of children can be seen on the beach.', ' photo of children can be seen in the sand boarding area.', ' photo of children can be seen in the sand boarding section.', ' photo of children can be seen in the sand boarding guide.', ' photo of children can be seen in the sand boarding area of the beach.']"
40,833,833,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/040_833.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a''young Hispanics' playing beach balls.,2,"[""''young Hispanics' playing beach towels."", ""''young Hispanics' playing beach umbrellas."", ""''young Hispanics' playing beach balls."", ""''young Hispanics' playing beach umbrellos."", ""''young Hispanics' playing beach umbrellas in the middle of a""]"
41,21284,21284,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/041_21284.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a protest in the Jewish National Fund rally in New York City by Rabbi David Ben,4,"[' Palestinian protesting Judaism.', ' protest in the Jewish National Fund rally in New York City.', ' protest in the Jewish National Fund rally in New York.', ' protest in the Jewish National Hat.', ' protest in the Jewish National Fund rally in New York City by Rabbi David Ben']"
42,17741,17741,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/042_17741.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a couple sitting on the floor of a room in Tokyo's Museum of Contemporary Art,3,"[' couple sitting on the floor.', ' couple sitting on the floor in Japanese.', ' couple sitting on the floor of a room.', "" couple sitting on the floor of a room in Tokyo's Museum of Contemporary Art"", "" couple sitting on the floor of a room in Tokyo's Museum of Modern Art""]"
43,301,301,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/043_301.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a market fairy in Manila showing the phenomenon in the city by Laura C.,4,"[' market fairy.', ' market fairy in Manila.', ' market fairy in Peru.', ' market fairy in Manila showing the phenomenon.', ' market fairy in Manila showing the phenomenon in the city by Laura C.']"
44,30774,30774,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/044_30774.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a man underwater video image image data type image image data element image.,3,"[' man underwater video video.', ' boy.', ' man underwater video video image format.', ' man underwater video image image data type image image data element image.', ' man underwater video image image data type image image data element image_image id']"
45,28876,28876,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/045_28876.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a afl diving in the 2012 tournament by © David Marshall.,4,"[' afl diving.', ' afl-kick.', ' afl diving in the 2012 tournament.', ' afl diving in the 2012 competition.', ' afl diving in the 2012 tournament by © David Marshall.']"
46,12491,12491,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/046_12491.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a bicycle on Amtrak California.,3,"[' bicycle.', ' train.', ' Train.', ' bicycle on Amtrak California.', ' bicycle on Amtrak California route #0901.']"
47,22494,22494,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/047_22494.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a work in progress in the garden shows artist working on the walls of the building,4,"[' work in progress.', ' project in action painting.', ' project in action painting 2008.', ' work in progress on the site.', ' work in progress in the garden shows artist working on the walls of the building']"
48,7097,7097,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/048_7097.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a street table crowd in New Orleans.,4,"[' busy patio.', ' crowded patio.', ' street table crowd.', ' street table audience.', ' street table crowd in New Orleans.']"
49,13831,13831,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/049_13831.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a training fence showing how well the species jumps can be seen on the left.,4,"[' game fair.', ' training fence.', ' training fence showing how well the species jumps.', ' training fence showing how well the species jumps can be seen on the right.', ' training fence showing how well the species jumps can be seen on the left.']"
50,23784,23784,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/050_23784.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a worker in the textile industry in Peru.,3,"[' woman.', ' worker in the laundry.', ' worker in the textile industry.', ' worker in the textile industry in Peru.', ' worker in the textile industry in Mexico.']"
51,951,951,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/051_951.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a desert walk in Ukraine.,2,"[' desolate walk.', ' desert walk.', ' desert walk in Ukraine.', ' desert walk in the Florida.', ' desert walk in the Florida is a surreal one.']"
52,17289,17289,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/052_17289.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of ailing man walks in to the hospital with stick.,4,"['iling woman walking cane.', 'iling man shovelwalking.', 'iling man walks in.', 'iling man walks in to the hospital.', 'iling man walks in to the hospital with stick.']"
53,7264,7264,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/053_7264.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a charity helping pets in the Dominican Republic showing a typical scene from the video.,3,"[' charity helping pets in the Dominican Republic.', ' charity helping pet dogs.', ' charity helping pets in Spain.', ' charity helping pets in the Dominican Republic showing a typical scene from the video.', ' charity helping pets in the Dominican Republic showing a typical scene from the video of']"
54,25024,25024,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/054_25024.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a gang gang of New Orleans Haitian kids who are celebrating the Fourth of July.,4,"[' gang.', ' gang gang.', ' gang gang of Haitian children.', ' gang gang of New Orleans Haitian kids.', ' gang gang of New Orleans Haitian kids who are celebrating the Fourth of July.']"
55,14348,14348,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/055_14348.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a person hitting a home run in the University of Miami Indians' first ever women,4,"[' person hitting.', ' player.', ' person hitting a home run.', ' person hitting the first.', "" person hitting a home run in the University of Miami Indians' first ever women""]"
56,16246,16246,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/056_16246.jpg,zerocap,ZeroCap,cond_text=Image of a,"Image of a Million Cambodians Happy Birthday"" via Shutterstock.",2,"[' Day by by Flickr.', ' Million Cambodians Happy Birthday.', ' Million Cambodians Happy Birthday"" via Shutterstock.', ' Million Cambodians Happy Birthday"" via Flickr.', ' Million Cambodians Happy Birthday"" via Flickr user David.']"
57,18116,18116,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/057_18116.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a family craftsman working gold cake in the village of Kati Kati Devi,4,"[' family craftsman working gold cakes.', ' family craftsman working gold cake.', ' family craftsman using gold.', ' family craftsman working gold cake making a silver necklace.', ' family craftsman working gold cake in the village of Kati Kati Devi']"
58,7637,7637,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/058_7637.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a new excavation at the University of Texas at Austin showing a man crying.,3,"[' drill site.', ' new excavation at the University of Texas at Austin showing a man.', ' new excavation at the University of Texas at Austin showing a man crying in the', ' new excavation at the University of Texas at Austin showing a man crying.', ' new excavation at the University of Texas at Austin showing a man crying in a']"
59,11327,11327,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/059_11327.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a elephant being dressed.,0,"[' elephant being dressed.', ' elephant in the market.', ' elephant in the market for slaughter.', ' elephant in the market for slaughter by Al Jazeera.', ' elephant in the market for slaughter by Al-J.']"
60,7565,7565,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/060_7565.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a toddler walking on floorboards.,0,"[' toddler walking on floorboards.', ' toddler walking on floorboards with with apron tape.', ' toddler walking on floorboards with with apron straps pulled up.', ' toddler walking on floorboards with with apron straps pulled.', ' toddler walking on floorboards with with apron folds.']"
61,22178,22178,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/061_22178.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a man buying fruits and selling them in the market place.,2,"[' man buying fruits.', ' man buying fruits and selling them.', ' man buying fruits and selling them in the market place.', ' man buying fruits and selling them in the city.', ' man buying fruits and selling them in the market.']"
62,7169,7169,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/062_7169.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a protest artist creating children's costumes in the 1990s.,1,"[' meeting in New York.', "" protest artist creating children's costumes in the 1990s."", "" protest artist creating children's costumes."", ' meeting.', "" protest artist creating children's clothing.""]"
63,24934,24934,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/063_24934.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a Brooklyn jogger in a blue T-shirt by Michael Sullivan.,4,"[' Brooklyn jogger.', ' Brooklyn jogger in blue.', ' Brooklyn jogger in a blue T-shirt.', ' Brooklyn jogger in blue on the wall.', ' Brooklyn jogger in a blue T-shirt by Michael Sullivan.']"
64,15060,15060,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/064_15060.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a fishing inlet coming in contact with the stream below the tent.,4,"[' fishing inlet coming in contact with the stream.', ' fishing inlet coming in contact with a stream.', ' fishing inlet coming up.', ' fishing inlet coming in contact with the stream below.', ' fishing inlet coming in contact with the stream below the tent.']"
65,9495,9495,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/065_9495.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a party at the party host's house.,4,"[' party.', ' party at the party.', ' party in the hotel.', ' party at the house.', "" party at the party host's house.""]"
66,30359,30359,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/066_30359.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a goal in the first leg.,3,"[' goal.', ' game.', ' goal in the second half.', ' goal in the first leg.', ' goal in the second leg.']"
67,704,704,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/067_704.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a demo session showing voice clips from the video.,4,"[' demo.', ' demo session.', ' demo session showing voice clips.', ' demo session showing voice clips from the video game.', ' demo session showing voice clips from the video.']"
68,13637,13637,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/068_13637.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a man surfacing from the surfboard on the opening day of the competition.,2,"[' man surfacing from surfboards.', ' man surfacing from the surfboard.', ' man surfacing from the surfboard on the opening day of the competition.', ' man surfacing from the beach.', ' man surfacing from the surfboards.']"
69,27445,27445,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/069_27445.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a contractor cutting a a piece of tree equipment used for the city.,2,"[' contractor cutting a a tree truck sign.', ' contractor cutting a a piece of tree debris.', ' contractor cutting a a piece of tree equipment used for the city.', ' contractor cutting a a piece of tree equipment used in the construction worker strike.', ' contractor cutting a a piece of tree equipment used in the construction workers.']"
70,30024,30024,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/070_30024.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a meeting in 2010.,2,"[' meeting.', ' meeting held.', ' meeting in 2010.', ' meeting in 2009.', ' meeting in 2010/06.']"
71,18233,18233,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/071_18233.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a match results in a submission slam.,4,"[' match.', ' match results in confrontation.', ' match results in chaos fighting.', ' match results in a takedown.', ' match results in a submission slam.']"
72,30218,30218,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/072_30218.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a Homeless Man performing.,1,"[' homeless.', ' Homeless Man performing.', ' Homeless Man playing Piano.', ' Homeless Man playing Piano in a Line.', ' Homeless Man playing Piano in a Line in the New York City Magazine.']"
73,21046,21046,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/073_21046.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a family discussing the app on on the train.,2,"[' couple tweeting.', ' family discussing the app on on train.', ' family discussing the app on on the train.', ' family discussing the app.', ' family discussing the app on on the subway.']"
74,3276,3276,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/074_3276.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a wedding dinner.,1,"[' party.', ' wedding dinner.', ' party party.', ' party party dinner calling in the 1980s.', ' party party dinner calling in the 1980s in the sun.']"
