order,dataset_index,image_id,image_path,reference_captions
24,24978,24978,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/024_24978.jpg,"[""A man in a blue shirt and brown pants is sitting next to a parked blue car."", ""A man in a blue sweater is sitting outside in front of a blue car."", ""A man in a blue shirt is sitting beside a blue van"", ""An elderly man sits in a chair in an alleyway."", ""The man in the blue shirt looks very lonely.""]"
25,25138,25138,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/025_25138.jpg,"[""A woman in a black stocking hat and black leather jacket, talking to a man with a beard in a black fleece jacket."", ""A girl in a black sock hat is talking to a man wearing a blue shirt."", ""A woman and man talking to each other in front of a scenic lake."", ""People talking to one another outside near a fountain."", ""A woman in a black beanie looks up at a bearded man.""]"
26,69,69,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/026_69.jpg,"[""A man in a black coat walks past a red spaceship with a parking ticket stuck to its window."", ""A man is standing in front of a small red object that looks like a plane."", ""A man wearing a black jacket is walking towards the street."", ""A man in a black jacket is moving towards a street."", ""Man in black coat examining airplane nose.""]"
27,22801,22801,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/027_22801.jpg,"[""People are walking down the street with vendors on the side on a beautiful, sunny day."", ""People are gathered at some kind of shop on the side of the street."", ""A boy with a yellow shirt and yellow do-rag walking through a town."", ""Multiple people are walking down a street at a street fair"", ""People walk down a street with shops along the way.""]"
28,14594,14594,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/028_14594.jpg,"[""A person aquestrian horse jumping over a wooden fence."", ""A horse and rider jumping a small fence."", ""A horse and rider jump over a fence."", ""A horse jumps over a wooden fence."", ""A jockey on a horse jumps a fence.""]"
29,8727,8727,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/029_8727.jpg,"[""One little toddler wearing blue pajamas and a little girl wearing red pajamas opening presents on christmas day."", ""A baby boy in blue pajamas watches while his blond sister with glasses opens a Christmas present."", ""A little girl wearing her pajamas opening a present while a little boy looks on."", ""A girl is opening a present while a young boy in blue pajamas watches."", ""A young girl and a toddler are tearing wrapping paper off a present.""]"
30,23643,23643,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/030_23643.jpg,"[""A little girl in a red and white shirt stands next to some caricatures of celebrities at an art fair."", ""A little girl in a red print sundress walked through an outdoor artist display."", ""A little girl wearing red is standing in front of caricature"", ""A girls stands by a caricature artist's drawings."", ""Little girl posing for a caricature.""]"
31,26274,26274,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/031_26274.jpg,"[""A man in a black hat is rearing up on his brown horse while a crowd of people look on from a distance."", ""A man in a black cowboy hat holds on as his horse rears up."", ""A man on a horse galloping onto its back two feet."", ""Cowboy holding on to the horse"", ""Man riding a bucking bronco!""]"
32,7496,7496,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/032_7496.jpg,"[""Two men wearing hats play accordions while standing between two burgundy and black pre-World War II automobiles."", ""Two accordion players in period costumes perform between two maroon-colored antique cars."", ""Two old men with hats are standing in between cars with their accordions."", ""Two men between 2 classic cars playing accordions."", ""Two men playing music and displaying old cars.""]"
33,19370,19370,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/033_19370.jpg,"[""A bicyclist waiting for traffic to pass so he can cross the street."", ""A man in a white polo shirt walks his red bike across a crosswalk."", ""A man with a beard is walking his bike across the street."", ""A man with a bicycle walks by a street crossing."", ""A man is riding a bicycle in the street.""]"
34,30974,30974,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/034_30974.jpg,"[""Four construction workers, wearing neon vests, stand at a construction site along with some equipment."", ""Construction workers are standing around the back of a dump truck."", ""Men standing around a cement truck on a construction site."", ""Four construction workers standing by a concrete machine."", ""A group of men are gathered around a concrete truck.""]"
35,3349,3349,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/035_3349.jpg,"[""A small child in a red coat watches the fireplace display through the storefront window of a purse store."", ""A small child in a red coat points to a handbag in a shop window."", ""A child wearing a red coat is pointing into a Loewe store window."", ""A little girl is looking at the window display of a store."", ""A child is window shopping for a brown purse.""]"
36,29537,29537,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/036_29537.jpg,"[""3 emergency workers are sitting on their vehicle, while the fourth one is standing and looking intently at something."", ""Men at work, Firemen waiting for their next call to a fire, looking relaxed and anxious at the same time."", ""4 fireman on a firetruck looking very tired, brick building behind them, and a hand to the bottom left."", ""There are four men, three sitting and one standing, wearing the same dark blue uniform."", ""Four firefighters are sitting atop a firetruck.""]"
37,10401,10401,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/037_10401.jpg,"[""A girl in a blue sweater with a white pattern is jumping into a pile of leaves."", ""A young girl is diving into a pile of brown leaves in the yard."", ""A girl in a sweater diving into a pile of leaves."", ""A girl is jumping into a pile of leaves."", ""A girl is jumping into a pile of leaves""]"
38,1002,1002,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/038_1002.jpg,"[""Someone wearing a large hat is sitting on colorful blankets working a loom with a pair of men's dress shoes in front of him."", ""An adult in brightly colored clothing and hat, is weaving or beading while sitting on brightly colored rugs."", ""A Hispanic person sitting among colorful fabric making a belt."", ""A gentleman in traditional garb weaving a blanket in a field."", ""A man works on weaving a cloth good for sale at the market.""]"
39,731,731,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/039_731.jpg,"[""Three little blond girls, two in blue, one in pink, play on a sunny beach."", ""Three children are playing in sand near to the beach."", ""Three young girls dance on the beach in the sand."", ""Three children playing in sand at beach"", ""Three girls play in the sand.""]"
40,833,833,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/040_833.jpg,"[""A beach scene with three boys in swim shorts each holding paddle ball racquets but no ball in sight."", ""Kids play a game of ball with paddles at the water's edge at the beach."", ""Three children are playing paddle ball on the beach."", ""Three boys play with paddles on the beach."", ""Several children playing on a beach.""]"
41,21284,21284,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/041_21284.jpg,"[""A group of men in black suits and black hats are standing along a parade route."", ""A group of Hasidic Jews stand amidst a crowd adjacent to a busy city street."", ""Bearded men wearing black gather together outside of a religious service."", ""People in black hats gathered together downtown."", ""Many jewish men in a city.""]"
42,17741,17741,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/042_17741.jpg,"[""Two people sit on a bench overlooking a vast amount of windows."", ""Two people sitting on a bench in front of a large window."", ""Two people sitting looking at a glass wall."", ""Two people are siting on a black bench."", ""Two women sitting on a bench.""]"
43,301,301,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/043_301.jpg,"[""A dark-haired woman in a green and white apron sits amid her outdoor display of flowers for sale on a city street."", ""A woman is sitting by her dried flower display at an outside market."", ""A woman sells flowers and incense at the market."", ""A lady is sitting down tending to her stand."", ""A woman in an apron shopping at a market.""]"
44,30774,30774,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/044_30774.jpg,"[""A little boy underwater in a pool, holding a plastic dinosaur."", ""A little boy swimming underwater with a toy in his hand."", ""A boy is swimming underwater holding a toy in his hand."", ""Child swimming underwater with a toy in his hand."", ""A little boy swims underwater.""]"
45,28876,28876,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/045_28876.jpg,"[""A participant in a sporting event has landed on his head while holding the ball on a field of grass."", ""A person doing a face plant while the other watches on a clear, lush field of green grass."", ""A male athlete tackles his head into the ground to protect the ball in play."", ""The rugby player got the ball but he is smashing his head into the ground."", ""Uniformed athletes dive onto a grassy playing field.""]"
46,12491,12491,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/046_12491.jpg,"[""A person is in the air while riding his bicycle on top of the train on a clear blue sky day."", ""A person is jumping over a train car while on their bicycle."", ""A person on a bicycle moving across the top of a train."", ""A man on a bmx bike jumps over a train"", ""A man jumps train cars with his bike.""]"
47,22494,22494,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/047_22494.jpg,"[""A man in an orange shirt and gray pants with white paint on them looks at the camera while standing near an orange ladder and a gray and white brick wall."", ""A house painter in clothes covered in paint pauses to look at the camera."", ""A man in an orange shirt with an orange ladder next to a brick wall."", ""A man in an orange shirt is holding a ladder."", ""A worker grabs a ladder to move it around.""]"
48,7097,7097,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/048_7097.jpg,"[""A little boy in a tan shirt and shorts walking in an area with many gray mesh tables and chairs."", ""A group of people sitting in gray metal chairs with orange umbrellas in the background."", ""A young boy is on a patio crowded with metal tables and chairs and 2 yellow umbrellas."", ""A boy walking through chairs and tables at Au Bon Pain."", ""Lots of people are sitting at tables doing something.""]"
49,13831,13831,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/049_13831.jpg,"[""A black and white dog jumps a red and white hurdle on a lawn with other dogs and people."", ""A black and white dog is jumping over a fence in an obstacle course."", ""A black and white dog in midair over a hurdle."", ""A dog jumps over a red and white gate."", ""The dog jumps over an obstacle.""]"
50,23784,23784,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/050_23784.jpg,"[""A very aged woman wearing blue is standing in front of a pile of things, many in black trash bags."", ""Smiling woman in a blue apron standing in front of a pile of bags and boxes."", ""An elderly hispanic woman wears a blue vest in front of a pile of boxes."", ""A woman wearing a blue vest seems to be in a very messy area."", ""A woman in a blue smock in a blue smock is smiling.""]"
51,951,951,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/051_951.jpg,"[""A person wearing a hat and carrying a knapsack walks uphill on a sand dune under a dark, cloudy sky and leaves the only visible footprints behind."", ""A man with a shoulder bag walking in the desert on sand with footprints behind him and the horizon with many stormy clouds."", ""A man walking in the desert wearing a hat, khaki shirt and shorts and very dark sky ahead of him."", ""One man is walking across a desert right into an approaching storm."", ""A man wandering in the desert as the clouds roll in.""]"
52,17289,17289,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/052_17289.jpg,"[""A man wearing a blue sweatshirt and dark baseball cap is sweeping the floor with others watching."", ""One man is using a mop, while two other men watch from the background."", ""A tall looking man wearing a hat is mopping the floor."", ""Guys cleaning the floor with sweeper."", ""A guy in a sweater cleans the floor.""]"
53,7264,7264,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/053_7264.jpg,"[""Two ladies and a teenage girl all dressed in summer attire are bending down and laughing, showing a small puppy to a little girl."", ""The little girl in a flower dress is talking to the ladies on the street."", ""A woman teaching a young girl not to be afraid of puppies."", ""Three women and a little girl play with a small puppy."", ""A woman bends down and pets a young girl's dog.""]"
54,25024,25024,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/054_25024.jpg,"[""Eleven children sit next to each other on a stoop in front of a blue grating while holding objects in front of their eyes."", ""Smiling children are sitting on concrete slab displaying a small item in their hands."", ""Several young children are sitting outside laughing and looking through objects."", ""Eleven children sitting together, holding something up, and laughing."", ""A group of children sitting together eating donuts.""]"
55,14348,14348,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/055_14348.jpg,"[""A baseball player in a red shirt and white pants is swinging the bat towards a yellow ball whilst three people look on."", ""A baseball player recoils from an action involving a bat while opposing team members look on."", ""A woman swings at a softball on a playing field while other players look on."", ""A girl in a red and white uniform is swinging a bat."", ""A girl swings a bat during a softball game.""]"
56,16246,16246,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/056_16246.jpg,"[""A child is holding a bunch of balloons in front of their face."", ""A child holding balloons that cover their face."", ""A little boy holds many inflated balloons."", ""Child carrying a bouquet of balloons."", ""A young child carrying many balloons.""]"
57,18116,18116,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/057_18116.jpg,"[""Overhead shot of a gray-haired man working on a piece of art."", ""A man in a white shirt adds detail to small sculptures."", ""A very old dark-skinned many is picking at bones."", ""An older man carving something out of wood."", ""An old man carves designs into gold.""]"
58,7637,7637,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/058_7637.jpg,"[""Two men are looking toward the ground while one is wearing gloves and holding a tool."", ""A man with work gloves looking down as another man checks out something on the beach."", ""A historian and his friend digging in the mines to look for more fossils for study."", ""A man in a black shirt is looking down at a man who is bending over."", ""Two men looking to be construction workers work in the sand.""]"
59,11327,11327,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/059_11327.jpg,"[""An elephant is carrying something in its trunk and is covered by some bright-colored fabric."", ""An elephant draped in red, blue and gold fabric walking on a stone path."", ""An elephant wearing a red and blue scarf walks along the brick road."", ""An elephant wearing a colorful drap carrying foliage in his trunk."", ""An elephant wearing red and blue fabric holds grass in his trunk.""]"
60,7565,7565,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/060_7565.jpg,"[""An infant is crawling on a wood floor, with a water bottle laying nearby."", ""A young baby crawls across the wood floor towards the water bottle."", ""A baby crawls on hardwood floors towards a water bottle."", ""A baby crawls on a wood floor near a bottle of water."", ""A baby on a wood floor with a water bottle""]"
61,22178,22178,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/061_22178.jpg,"[""A man with gray hair is sitting on a stool reading a newspaper in a market type setting."", ""An elderly outdoor market vegetable vendor sits with his wares and reads a newspaper."", ""A man in a white shirt reads while waiting to sell fruit."", ""A man in reads the newspaper and sells his produce."", ""A man reads his newspaper while selling fruit.""]"
62,7169,7169,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/062_7169.jpg,"[""A young man with blond dreadlocks sits on a wall reading a newspaper as a woman and a young girl pass by."", ""A mother and daughter walking on the street, passing a man reading a newspaper."", ""A man with dreadlocks reads a newspaper outdoors."", ""Three people walk outside carrying bags."", ""A woman and child walk with their bags.""]"
63,24934,24934,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/063_24934.jpg,"[""A man wearing a striped jacket tentatively looking down onto his hands while walking."", ""A man walks along a cobblestone path, next to a large blue wall."", ""A man walking down a brick path next to a blue wall."", ""A lone man walking along side a blue wall."", ""Solitary man walks past blue wall.""]"
64,15060,15060,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/064_15060.jpg,"[""A man in black with a helmet is water rafting in a green canoe."", ""A kayaker in a green boat paddles through the rapids."", ""One man in a green kayak paddling through the water."", ""This man is kayaking in whitewater."", ""A kayaker gets wet in the rapids.""]"
65,9495,9495,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/065_9495.jpg,"[""A woman with a yellow \""Miller\"" bag has her hand on a seated man, while another woman with the same type yellow \""Miller\"" bag is standing close to them."", ""A man and two women talk while looking at his reflection in the mirror."", ""A woman with a yellow shoulder bag gives a man a massage."", ""Two girls with yellow bags hanging out at a bar."", ""A bar with 2 girls and a man sitting on a table""]"
66,30359,30359,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/066_30359.jpg,"[""A soccer game with 5 guys in the picture but three of them are about to commence in a three way kick."", ""A group of soccer teammates are fighting over the soccer ball while in a stadium full of supporters."", ""Five young men, three in yellow, one in red and one in white are playing soccer."", ""A soccer player is attempting to score a goal."", ""Guys are play soccer on the field.""]"
67,704,704,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/067_704.jpg,"[""Two men, one looking at a screen with a drum next to him, while the other is a man dressed in a white shirt is talking into a microphone."", ""A man in a white shirt sings into a microphone as he reads the words on a screen, while a balding man plays the drums."", ""Two guys looking at the screen of a tv while one sings, (presumably ) and the other plays a set of big wooden drums."", ""One man is playing the drums while another is singing Karaoke."", ""Two men in a club playing bongos and singing karaoke.""]"
68,13637,13637,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/068_13637.jpg,"[""Person with a blue and black suit is surfing."", ""A surfer is being splashed by an ocean wave."", ""A man in a blue wetsuit surfs."", ""A surfer in blue rides a wave."", ""A surfer makes a big splash.""]"
69,27445,27445,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/069_27445.jpg,"[""Two workers are wearing orange shirts and orange hard hats one of them feeds a tree into a wood-chipper machine while the other fumbles with his headgear."", ""Two construction workers, one of which is putting a tree into a big machine."", ""Two workers are feeding cut branches into a mulching machine."", ""Walking and talking and turning trees to mulch."", ""Two workers cutting down trees.""]"
70,30024,30024,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/070_30024.jpg,"[""Several men are sitting around a dinner table having separate conversations."", ""A group of men are sitting at a table talking."", ""A man with gray hair is sitting at a table."", ""Four men are at a dining table."", ""Four men sitting at a table.""]"
71,18233,18233,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/071_18233.jpg,"[""Here is a picture of Asian dancers performing a new dance in front of their class and teacher."", ""Young girl balances on a reclined man's legs as part of a performance in front of an audience"", ""A man in black lies on his back while a little girl stands on his feet."", ""Circus actors play with a child while other children watch."", ""Children watch while an acrobatic team performs stunts.""]"
72,30218,30218,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/072_30218.jpg,"[""An older, bearded man play a small metal whistle while holding an oboe in his arm on a city street in font of a store window."", ""A bearded man, dressed in jeans and a jacket, is preparing to play a flute instrument on the sidewalk."", ""A man in a gray sweater and blue jeans, playing a flute along a street."", ""An old bearded man plays a hand flute on the side of a sidewalk."", ""An old man playing a musical instrument at a city sidewalk.""]"
73,21046,21046,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/073_21046.jpg,"[""A man and a woman are seated, holding reading materials, while he looks into the camera and she looks down into her partly rolled-up magazine."", ""A young man and woman sit beside each other on the subway train."", ""A man and a woman are reading while riding the subway."", ""A man and woman riding on a subway car."", ""Several people sit on the subway.""]"
74,3276,3276,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/074_3276.jpg,"[""A group of nicely dressed people sitting at a long table with several bottles of wine on it."", ""People are sitting at long dining tables in a tent at some formal event."", ""A long dinner table with rows of people talking waiting for their food."", ""Many people sit at a long dinner table at a formal event."", ""Banquet attendees are waiting for the meal to be served.""]"
75,6091,6091,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/075_6091.jpg,"[""A little girl is sitting on the counter dangling one foot in the sink whilst holding a dish jet washer."", ""A young girl wearing red sunglasses sits near a sink and holds the faucet."", ""A little girl wearing sunglasses puts her feet into the kitchen sink."", ""A young, barefoot girl in red sunglasses plays in a sink."", ""A little girl plays with a faucet.""]"
76,20622,20622,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/076_20622.jpg,"[""A worker with a white hard-hat is at the bottom landing of an exterior fire escape and is struggling to work with the edge of a large yellow sign."", ""A man with a white hard hat with a black logo in the front of the hat holding part of a sign with numbers on it, while standing on a balcony."", ""A man in a white baseball hat takes down a banner hanging from a fire escape."", ""A man taking down a banner from the fire escape of a building."", ""A man putting up a banner from the fire escape.""]"
